"","?=C47_428","Andrena_minutuloides_425","Andrena_minutuloides_426","Andrena_minutuloides_427","Andrena_minutuloides_430","Andrena_minutuloides_433","Andrena_minutuloides_434","Andrena_minutuloides_435","Andrena_minutuloides_436","Andrena_minutuloides_437","Andrena_minutuloides_439","Andrena_minutuloides_440","Andrena_minutuloides_441","Andrena_minutuloides_442","Andrena_minutuloides_474","Andrena_minutuloides_476","Andrena_minutuloides_477","Andrena_minutuloides_479","Andrena_nigroaena_483","Erebia_meolans_628","Eupeodes_sp_635","Platycheirus_albimanus_478","Sphaerophoria_scripta_429","Sphaerophoria_scripta_431","Sphaerophoria_scripta_470","Sphaerophoria_scripta_471","Sphaerophoria_scripta_472","Sphaerophoria_scripta_473","Sphaerophoria_scripta_475","Sphaerophoria_scripta_480","Sphaerophoria_scripta_481","Sphaerophoria_scripta_482","Sphaerophoria_scripta_620","Sphaerophoria_sp_432"
"22-16 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"22-4 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"23-1 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"23-16 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"23-2 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4-4 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"6-6 Potentilla_erecta",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-7 Potentilla_erecta",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-8 Potentilla_erecta",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-17 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-4 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-9 Potentilla_erecta",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-1 Potentilla_erecta",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-4 Potentilla_erecta",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-5 Potentilla_erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"9-8 Potentilla_erecta",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9-9 Potentilla_erecta",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
